iter	RMSE
0	10.31203792
1	9.299111682
2	8.388579921
3	7.571192877
4	6.837392399
5	6.179629
6	5.589747702
7	5.061978173
8	4.570675368
9	4.125580311
10	3.724949613
11	3.369954562
12	3.048291462
13	2.759850919
14	2.502189598
15	2.272486946
16	2.066326336
17	1.879154112
18	1.712308523
19	1.565091478
20	1.429929016
21	1.313673064
22	1.193041997
23	1.084956299
24	0.9888228709
25	0.9014848372
26	0.824925636
27	0.7566613054
28	0.695475809
29	0.6407895209
30	0.5908027677
31	0.546649685
32	0.5071711911
33	0.4717972263
34	0.4412559968
35	0.4133870887
36	0.3896737276
37	0.3673345228
38	0.3481510023
39	0.3311999773
40	0.3162887472
41	0.3036843127
42	0.2924980436
43	0.2825583739
44	0.2742126811
45	0.2666865807
46	0.2599512597
47	0.2541241985
48	0.2488343279
49	0.2442836318
50	0.2400684927
51	0.2368346591
52	0.2336638185
53	0.2308249681
54	0.2281136077
55	0.2261585997
56	0.2242304279
57	0.222325822
58	0.2208157911
59	0.2195243232
60	0.2180041714
61	0.2167061726
62	0.2158169419
63	0.214736374
64	0.2139264136
65	0.2128498316
66	0.2122672262
67	0.2114525712
68	0.2103533144
69	0.2097431651
70	0.2090643128
71	0.2086991658
72	0.2081146075
73	0.2074505951
74	0.2067521777
75	0.2063029159
76	0.2060096752
77	0.205575289
78	0.2052827541
79	0.2049304012
80	0.2045354786
81	0.204194489
82	0.2039071552
83	0.20369886
84	0.2035329342
85	0.2032415722
86	0.2029764909
87	0.2027169222
88	0.2023921443
89	0.202149413
90	0.2018495292
91	0.2012182481
92	0.2009379724
93	0.2006881334
94	0.2003653166
95	0.2000161076
96	0.1998965568
97	0.1997417631
98	0.199455885
99	0.1992339186
100	0.1991351459
101	0.1990033756
102	0.1988306931
103	0.198509193
104	0.1983219104
105	0.1981688071
106	0.1980043611
107	0.1977872385
108	0.1976466608
109	0.1973682816
110	0.1972523326
111	0.1971502458
112	0.1968457437
113	0.1967859409
114	0.196662832
115	0.1964347719
116	0.1963093364
117	0.196210499
118	0.1959289615
119	0.1957388447
120	0.1956574835
121	0.1955440004
122	0.1954674554
123	0.1954465799
124	0.1949355326
125	0.1948547834
126	0.1946792135
127	0.1941583588
128	0.1939692666
129	0.1937836464
130	0.1935957876
131	0.1935153454
132	0.1934014074
133	0.1933191355
134	0.1931532737
135	0.1929783341
136	0.1929098545
137	0.1927492654
138	0.1927150622
139	0.1924880241
140	0.1922943494
141	0.1921253377
142	0.1920231812
143	0.1919854086
144	0.1918915325
145	0.1918038346
146	0.1917275773
147	0.1909884103
148	0.190928988
149	0.1908209494
150	0.1907592109
151	0.1907405752
152	0.1906452469
153	0.1905535405
154	0.1905425365
155	0.1905089098
156	0.1904536804
157	0.1903758511
158	0.1902196241
159	0.1900413842
160	0.1900326267
161	0.1899443961
162	0.1897830533
163	0.189756087
164	0.1897053301
165	0.1891126733
166	0.1890392245
167	0.1889396203
168	0.1887515477
169	0.1886524106
170	0.1886399179
171	0.1881587423
172	0.1877636792
173	0.1876583213
174	0.1875139747
175	0.1873926106
176	0.1871748672
177	0.1871130226
178	0.1870574496
179	0.1869650202
180	0.1869127938
181	0.1867842602
182	0.1866454449
183	0.1865966516
184	0.1864173935
185	0.1863292366
186	0.1862139378
187	0.1861410657
188	0.186127472
189	0.1860466637
190	0.1860362244
191	0.1857093365
192	0.1856710109
193	0.185662048
194	0.1856286929
195	0.185618334
196	0.1855423551
197	0.1855280612
198	0.1855072872
199	0.1854855245
200	0.1849674379
201	0.1849112998
202	0.1847746462
203	0.1847609563
204	0.1847318818
205	0.1847010577
206	0.1846422346
207	0.1845664726
208	0.1845533569
209	0.1840745239
210	0.1838975453
211	0.1838172841
212	0.1837700429
213	0.1837057976
214	0.183660534
215	0.1835957267
216	0.1835407334
217	0.183456395
218	0.1834092218
219	0.183404597
220	0.1833310243
221	0.1832585673
222	0.1832126885
223	0.1831465884
224	0.1830836414
225	0.182985815
226	0.1829370888
227	0.1828882446
228	0.182604209
229	0.1825220548
230	0.1824443601
231	0.182421106
232	0.1823810073
233	0.1823546504
234	0.1821197707
235	0.1820970376
236	0.1820809918
237	0.1820458952
238	0.1819944009
239	0.1819341553
240	0.1818593593
241	0.1818127053
242	0.1816123648
243	0.1815592136
244	0.1815319095
245	0.1814927213
246	0.1813816336
247	0.1813452304
248	0.1813047265
249	0.1812773336
250	0.1812361236
251	0.1812209056
252	0.1812084997
253	0.1811561458
254	0.1811186738
255	0.1810350094
256	0.180974019
257	0.1809380171
258	0.1808737754
259	0.1808354027
260	0.1808035609
261	0.1807773588
262	0.1807083725
263	0.1806769699
264	0.1804782469
265	0.1804061591
266	0.1801948658
267	0.180083938
268	0.1800176768
269	0.1798572495
270	0.1798064027
271	0.1797872752
272	0.1796439278
273	0.1796165293
274	0.1796082889
275	0.1795280593
276	0.1794874979
277	0.1794534006
278	0.1794221689
279	0.1793320711
280	0.1792686852
281	0.179097378
282	0.1789639594
283	0.1789362758
284	0.1789150911
285	0.1789117263
286	0.1788806421
287	0.1788419712
288	0.1788028425
289	0.1787721356
290	0.1787136583
291	0.1786935744
292	0.1786754288
293	0.1786680041
294	0.1786373994
295	0.1785459585
296	0.1784452484
297	0.1784089368
298	0.1783572982
299	0.1782850064
300	0.1782087975
301	0.178177509
302	0.1781031506
303	0.1780397757
304	0.177996216
305	0.177979557
306	0.1778213771
307	0.1777686226
308	0.1776505439
309	0.1776315333
310	0.1776018848
311	0.1775867546
312	0.1774644106
313	0.1773384047
314	0.1772936249
315	0.177265906
316	0.1770366139
317	0.1770266968
318	0.176990819
319	0.1768464142
320	0.1768188326
321	0.1767957148
322	0.1767127874
323	0.1766751468
324	0.1766286876
325	0.176620362
326	0.1764985136
327	0.1764710472
328	0.1763991617
329	0.1763865617
330	0.1763810482
331	0.1763433766
332	0.1762149635
333	0.1761845691
334	0.1761469037
335	0.1760776626
336	0.176036993
337	0.1760005898
338	0.17595864
339	0.1759241536
340	0.1757568559
341	0.1757327429
342	0.1756786291
343	0.175629364
344	0.175602115
345	0.1754802761
346	0.1754475662
347	0.1753919654
348	0.1753558522
349	0.1752599711
350	0.1752233153
351	0.1750850224
352	0.1750401197
353	0.1750043455
354	0.1749626182
355	0.174938154
356	0.1748062004
357	0.1747760672
358	0.1747565585
359	0.1747271143
360	0.1747082777
361	0.1746835461
362	0.1746611926
363	0.1746327292
364	0.1745859934
365	0.1745515276
366	0.1745006689
367	0.174358723
368	0.1742671903
369	0.1742450162
370	0.1742015705
371	0.1739729222
372	0.1739216563
373	0.173895094
374	0.1738732223
375	0.1738024328
376	0.1737700161
377	0.1737457894
378	0.1736977491
379	0.1736440144
380	0.1735600133
381	0.1735323068
382	0.1734837224
383	0.1734581749
384	0.1734199912
385	0.1733608931
386	0.1733367852
387	0.1733089887
388	0.1732956446
389	0.1730347752
390	0.1729494963
391	0.1728009342
392	0.1727665791
393	0.1727398474
394	0.1727068765
395	0.1726316703
396	0.1725957027
397	0.1725598866
398	0.1725440075
399	0.1725202093
400	0.1724965937
401	0.1724893008
402	0.1724601869
403	0.1724042333
404	0.1723806221
405	0.1722769239
406	0.1722579867
407	0.1722281693
408	0.1722087348
409	0.1721899514
410	0.1721637862
411	0.1721637031
412	0.1720501836
413	0.1719922333
414	0.1719475237
415	0.171842784
416	0.1718138417
417	0.1717605505
418	0.1717268693
419	0.1717261206
420	0.1717143627
421	0.1716841657
422	0.1716687466
423	0.1716390385
424	0.1715761058
425	0.1715463958
426	0.1715084249
427	0.1714922682
428	0.1714723475
429	0.171442015
430	0.1714343096
431	0.1713602997
432	0.1713406258
433	0.1713187389
434	0.1713183983
435	0.1712703934
436	0.1712526716
437	0.1712137126
438	0.1711395499
439	0.1711185383
440	0.1710499756
441	0.1710309709
442	0.1710111634
443	0.1709202875
444	0.170899693
445	0.1708683308
446	0.170847911
447	0.1708150988
448	0.1708064574
449	0.1707835638
450	0.1707576935
451	0.1707344738
452	0.1707183508
453	0.1706916898
454	0.1706615262
455	0.17064525
456	0.1706156771
457	0.1706004053
458	0.1705773955
459	0.1705264172
460	0.1705121627
461	0.1704609086
462	0.1704206454
463	0.1704036315
464	0.1703874609
465	0.1703518938
466	0.1702710672
467	0.1702339319
468	0.170214229
469	0.1701760215
470	0.1701411349
471	0.1700993995
472	0.170092747
