iter	Passed	Remaining
0	39	19680
1	82	20418
2	140	23201
3	181	22554
4	224	22186
5	267	22018
6	309	21776
7	351	21594
8	394	21539
9	435	21342
10	504	22435
11	564	22975
12	617	23150
13	658	22842
14	692	22387
15	734	22211
16	767	21797
17	806	21601
18	845	21408
19	871	20906
20	904	20622
21	922	20040
22	959	19897
23	997	19792
24	1040	19767
25	1075	19599
26	1109	19444
27	1144	19292
28	1180	19177
29	1218	19096
30	1252	18953
31	1288	18844
32	1321	18704
33	1354	18571
34	1387	18430
35	1422	18339
36	1459	18265
37	1495	18186
38	1533	18123
39	1569	18052
40	1606	17988
41	1646	17950
42	1683	17887
43	1722	17849
44	1760	17801
45	1803	17798
46	1843	17769
47	1907	17958
48	1952	17973
49	1992	17932
50	2033	17899
51	2078	17910
52	2119	17871
53	2159	17832
54	2206	17851
55	2244	17795
56	2285	17764
57	2326	17730
58	2367	17692
59	2408	17665
60	2455	17670
61	2503	17684
62	2547	17672
63	2591	17652
64	2631	17610
65	2667	17538
66	2705	17483
67	2753	17492
68	2800	17495
69	2839	17441
70	2885	17437
71	2925	17391
72	2969	17366
73	3011	17334
74	3056	17318
75	3099	17294
76	3145	17280
77	3193	17280
78	3241	17276
79	3287	17258
80	3343	17297
81	3394	17304
82	3444	17305
83	3489	17282
84	3531	17242
85	3573	17200
86	3611	17145
87	3653	17105
88	3693	17058
89	3740	17041
90	3782	16998
91	3823	16957
92	3869	16932
93	3909	16886
94	3957	16870
95	3999	16829
96	4042	16796
97	4084	16756
98	4124	16704
99	4172	16688
100	4235	16733
101	4278	16693
102	4318	16645
103	4358	16595
104	4395	16536
105	4436	16492
106	4478	16448
107	4539	16475
108	4591	16471
109	4627	16408
110	4665	16351
111	4706	16303
112	4751	16272
113	4790	16219
114	4832	16176
115	4868	16116
116	4906	16061
117	4948	16018
118	4984	15957
119	5026	15917
120	5066	15868
121	5103	15812
122	5142	15763
123	5178	15701
124	5219	15659
125	5257	15604
126	5299	15564
127	5339	15517
128	5384	15487
129	5424	15438
130	5467	15401
131	5509	15360
132	5544	15299
