iter	Passed	Remaining
0	40	20131
1	81	20373
2	123	20504
3	163	20217
4	203	20135
5	244	20096
6	284	20059
7	326	20077
8	367	20036
9	402	19719
10	440	19572
11	480	19525
12	519	19468
13	556	19321
14	583	18853
15	617	18684
16	653	18576
17	689	18468
18	724	18347
19	755	18125
20	792	18082
21	827	17972
22	863	17899
23	896	17771
24	928	17639
25	964	17581
26	991	17371
27	1027	17319
28	1064	17284
29	1097	17187
30	1131	17124
31	1173	17158
32	1212	17157
33	1247	17095
34	1286	17096
35	1323	17052
36	1354	16951
37	1388	16886
38	1425	16848
39	1466	16865
40	1502	16823
41	1535	16740
42	1566	16648
43	1599	16580
44	1636	16546
45	1674	16521
46	1709	16480
47	1746	16450
48	1794	16517
49	1834	16507
50	1874	16500
51	1912	16478
52	1952	16467
53	1990	16437
54	2031	16438
55	2068	16397
56	2120	16483
57	2161	16475
58	2200	16448
59	2238	16418
60	2278	16398
61	2319	16384
62	2359	16365
63	2397	16331
64	2436	16306
65	2475	16280
66	2515	16253
67	2550	16202
68	2591	16188
69	2626	16134
70	2668	16124
71	2710	16109
72	2748	16078
73	2792	16073
74	2853	16167
75	2898	16171
76	2941	16158
77	2987	16160
78	3027	16133
79	3067	16103
80	3140	16244
81	3184	16231
82	3222	16191
83	3263	16164
84	3303	16126
85	3341	16083
86	3379	16040
87	3412	15978
88	3451	15937
89	3488	15890
90	3529	15865
91	3569	15831
92	3610	15799
93	3647	15754
94	3684	15707
95	3725	15678
96	3760	15624
97	3800	15590
98	3839	15551
99	3878	15513
100	3919	15485
101	3956	15439
102	3996	15405
103	4038	15378
104	4078	15343
105	4121	15318
106	4162	15287
107	4199	15243
108	4240	15209
109	4278	15168
110	4312	15112
111	4351	15074
112	4392	15044
113	4433	15010
114	4474	14981
115	4513	14942
116	4553	14905
117	4591	14862
118	4631	14827
119	4670	14788
120	4712	14759
121	4747	14710
122	4787	14673
123	4828	14641
124	4863	14591
125	4903	14555
126	4941	14513
127	4980	14475
128	5019	14435
129	5053	14383
130	5085	14323
131	5125	14289
132	5164	14250
133	5198	14197
134	5239	14165
135	5280	14133
136	5317	14088
137	5357	14053
138	5398	14020
139	5438	13984
140	5470	13928
141	5511	13895
142	5552	13860
143	5591	13824
144	5632	13789
145	5672	13753
146	5708	13707
147	5742	13657
148	5776	13608
149	5814	13566
150	5856	13535
151	5897	13501
152	5941	13474
153	5983	13443
154	6020	13400
155	6058	13360
156	6094	13315
157	6133	13275
158	6169	13231
159	6208	13193
160	6249	13158
161	6288	13120
162	6329	13086
163	6367	13046
164	6407	13009
165	6443	12965
166	6481	12923
167	6524	12892
168	6563	12855
169	6605	12821
170	6641	12777
171	6682	12743
172	6720	12702
173	6756	12657
174	6795	12619
175	6833	12580
176	6875	12547
177	6912	12504
178	6951	12466
179	6991	12429
180	7029	12389
181	7068	12351
182	7120	12334
183	7161	12299
184	7206	12270
185	7249	12238
186	7298	12215
187	7341	12183
188	7390	12160
189	7432	12126
190	7476	12095
191	7519	12061
192	7556	12020
193	7603	11993
194	7647	11961
195	7687	11923
196	7728	11886
197	7773	11857
198	7818	11826
199	7859	11789
200	7902	11755
201	7946	11723
202	7989	11689
203	8034	11658
204	8084	11634
205	8127	11599
206	8170	11564
207	8211	11527
208	8251	11488
209	8291	11449
210	8331	11411
211	8373	11375
212	8406	11327
213	8443	11284
214	8488	11252
215	8525	11210
216	8562	11166
217	8600	11125
218	8640	11087
219	8682	11050
220	8719	11007
221	8760	10970
222	8798	10929
223	8836	10887
224	8877	10850
225	8915	10808
226	8955	10770
227	8990	10725
228	9026	10682
229	9060	10636
230	9097	10593
231	9137	10555
232	9172	10511
233	9213	10473
234	9254	10435
235	9291	10393
236	9330	10354
237	9368	10313
238	9409	10275
239	9446	10233
240	9487	10195
241	9524	10154
242	9558	10109
243	9594	10066
244	9633	10026
245	9673	9988
246	9713	9949
247	9747	9904
248	9788	9867
249	9830	9830
250	9872	9793
251	9914	9757
252	9952	9716
253	9993	9678
254	10032	9639
255	10074	9602
256	10114	9563
257	10154	9524
258	10193	9485
259	10236	9449
260	10276	9409
261	10316	9371
262	10351	9327
263	10390	9288
264	10430	9250
265	10472	9212
266	10514	9175
267	10551	9134
268	10591	9095
269	10628	9053
270	10663	9010
271	10708	8976
272	10746	8935
273	10786	8896
274	10826	8858
275	10866	8819
276	10902	8777
277	10937	8734
278	10976	8695
279	11022	8660
280	11057	8617
281	11097	8579
282	11138	8541
283	11174	8498
284	11216	8461
285	11257	8423
286	11305	8390
287	11351	8356
288	11397	8321
289	11442	8285
290	11482	8246
291	11524	8209
292	11565	8170
293	11608	8133
294	11649	8095
295	11690	8057
296	11729	8017
297	11767	7976
298	11807	7937
299	11846	7897
300	11884	7857
301	11926	7819
302	11966	7780
303	12009	7742
304	12044	7700
305	12092	7666
306	12124	7622
307	12161	7581
308	12199	7540
309	12239	7501
310	12281	7463
311	12336	7433
312	12376	7394
313	12417	7355
314	12466	7321
315	12505	7281
316	12552	7246
317	12595	7208
318	12633	7168
319	12672	7128
320	12715	7090
321	12756	7051
322	12797	7012
323	12840	6975
324	12882	6936
325	12922	6897
326	12960	6857
327	13004	6819
328	13044	6779
329	13084	6740
330	13121	6699
331	13164	6661
332	13206	6623
333	13244	6582
334	13284	6542
335	13328	6505
336	13366	6465
337	13407	6425
338	13449	6387
339	13487	6347
340	13530	6308
341	13569	6268
342	13610	6229
343	13649	6189
344	13685	6148
345	13723	6108
346	13765	6069
347	13810	6032
348	13850	5992
349	13886	5951
350	13927	5912
351	13968	5873
352	14008	5833
353	14047	5793
354	14086	5753
355	14127	5714
356	14163	5673
357	14202	5633
358	14241	5593
359	14282	5554
360	14324	5515
361	14369	5477
362	14413	5439
363	14452	5399
364	14491	5359
365	14530	5319
366	14571	5280
367	14610	5240
368	14655	5203
369	14693	5162
370	14734	5123
371	14774	5083
372	14815	5044
373	14855	5004
374	14896	4965
375	14938	4926
376	14982	4888
377	15024	4849
378	15064	4809
379	15107	4770
380	15147	4731
381	15187	4691
382	15239	4655
383	15280	4616
384	15321	4576
385	15362	4537
386	15405	4498
387	15445	4458
388	15485	4418
389	15528	4379
390	15570	4340
391	15608	4300
392	15653	4261
393	15696	4222
394	15734	4182
395	15776	4143
396	15820	4104
397	15860	4064
398	15897	4024
399	15930	3982
400	15970	3942
401	16010	3902
402	16045	3862
403	16082	3821
404	16116	3780
405	16155	3740
406	16188	3699
407	16230	3659
408	16271	3620
409	16312	3580
410	16351	3540
411	16391	3501
412	16426	3460
413	16465	3420
414	16501	3379
415	16542	3340
416	16583	3300
417	16628	3262
418	16669	3222
419	16707	3182
420	16745	3142
421	16787	3102
422	16824	3062
423	16865	3023
424	16905	2983
425	16946	2943
426	16987	2904
427	17027	2864
428	17067	2824
429	17108	2785
430	17148	2745
431	17201	2707
432	17244	2668
433	17286	2628
434	17327	2589
435	17369	2549
436	17409	2509
437	17445	2469
438	17489	2430
439	17531	2390
440	17570	2350
441	17607	2310
442	17645	2270
443	17683	2230
444	17721	2190
445	17761	2150
446	17802	2110
447	17847	2071
448	17890	2032
449	17929	1992
450	17970	1952
451	18012	1912
452	18055	1873
453	18095	1833
454	18137	1793
455	18179	1754
456	18217	1714
457	18258	1674
458	18296	1634
459	18337	1594
460	18375	1554
461	18414	1514
462	18452	1474
463	18493	1434
464	18534	1395
465	18575	1355
466	18615	1315
467	18655	1275
468	18698	1235
469	18740	1196
470	18778	1156
471	18818	1116
472	18858	1076
473	18899	1036
474	18938	996
475	18975	956
476	19016	916
477	19055	877
478	19096	837
479	19141	797
480	19182	757
481	19223	717
482	19265	678
483	19304	638
484	19345	598
485	19387	558
486	19428	518
487	19461	478
488	19506	438
489	19548	398
490	19588	359
491	19631	319
492	19672	279
493	19713	239
494	19753	199
495	19793	159
496	19839	119
497	19881	79
498	19922	39
499	19964	0
