iter	Passed	Remaining
0	40	20235
1	81	20244
2	120	20008
3	159	19827
4	200	19832
5	240	19841
6	279	19691
7	319	19676
8	361	19734
9	398	19523
10	435	19351
11	475	19329
12	516	19348
13	553	19214
14	579	18730
15	614	18574
16	653	18565
17	690	18488
18	725	18357
19	762	18294
20	808	18445
21	848	18430
22	884	18348
23	927	18401
24	960	18255
25	998	18206
26	1034	18125
27	1067	17998
28	1099	17860
29	1135	17792
30	1171	17717
31	1204	17611
32	1236	17498
33	1274	17474
34	1312	17438
35	1344	17327
36	1375	17216
37	1420	17271
38	1457	17229
39	1493	17177
40	1528	17110
41	1567	17098
42	1599	16998
43	1634	16942
44	1676	16953
45	1719	16971
46	1755	16915
47	1794	16900
48	1830	16852
49	1865	16790
50	1899	16719
51	1936	16685
52	1971	16630
53	2010	16605
54	2051	16601
55	2092	16587
56	2131	16563
57	2164	16498
58	2204	16479
59	2245	16464
60	2284	16437
61	2321	16402
62	2360	16376
63	2402	16369
64	2439	16327
65	2473	16267
66	2510	16224
67	2550	16204
68	2589	16173
69	2630	16156
70	2672	16149
71	2711	16119
72	2751	16094
73	2792	16073
74	2830	16041
75	2862	15972
76	2901	15937
77	2940	15911
78	2977	15869
79	3016	15838
80	3057	15815
81	3092	15764
82	3134	15749
83	3166	15679
84	3207	15657
85	3245	15624
86	3284	15593
87	3324	15566
88	3367	15550
89	3411	15541
90	3454	15524
91	3491	15482
92	3530	15451
93	3570	15423
94	3612	15400
95	3650	15364
96	3689	15328
97	3729	15300
98	3771	15277
99	3811	15245
100	3851	15213
101	3891	15185
102	3932	15157
103	3972	15124
104	4014	15102
105	4055	15073
106	4094	15039
107	4134	15005
108	4173	14970
109	4213	14938
110	4252	14901
111	4287	14852
112	4327	14819
113	4371	14801
114	4412	14773
115	4454	14744
116	4493	14708
117	4534	14679
118	4569	14629
119	4608	14593
120	4649	14564
121	4692	14540
122	4735	14513
123	4775	14481
124	4812	14438
125	4851	14401
126	4888	14358
127	4934	14341
128	4973	14303
129	5014	14272
130	5051	14230
131	5089	14188
132	5126	14146
133	5166	14112
134	5205	14074
135	5244	14037
136	5282	13996
137	5319	13955
138	5362	13926
139	5401	13890
140	5442	13856
141	5479	13815
142	5513	13765
143	5553	13730
144	5590	13686
145	5624	13638
146	5665	13605
147	5705	13569
148	5745	13533
