iter	RMSE
0	10.31195679
1	9.29905113
2	8.388553223
3	7.571187939
4	6.837398879
5	6.179561291
6	5.589661019
7	5.061917119
8	4.570617149
9	4.125521744
10	3.724952265
11	3.369966817
12	3.048723447
13	2.763571822
14	2.506056205
15	2.276433171
16	2.069597673
17	1.884529904
18	1.721072837
19	1.570192727
20	1.434758188
21	1.302197537
22	1.183920796
23	1.076693916
24	0.9840813188
25	0.8969637373
26	0.8184745901
27	0.7491352863
28	0.6855475365
29	0.6299994544
30	0.5808401502
31	0.5372946018
32	0.4977909808
33	0.4634108007
34	0.4320564822
35	0.4054210263
36	0.3810461218
37	0.359796708
38	0.3417099343
39	0.3258315414
40	0.3118239461
41	0.2993454042
42	0.2894491199
43	0.2799441249
44	0.2712099018
45	0.2639126193
46	0.2573529123
47	0.2518017072
48	0.2470509051
49	0.2424700717
50	0.2389275292
51	0.2352946662
52	0.2322755696
53	0.2295753967
54	0.2267545336
55	0.2245960602
56	0.22252967
57	0.2208856776
58	0.2195045731
59	0.2178954335
60	0.2165685263
61	0.2150203374
62	0.2139952036
63	0.2130432581
64	0.2123584718
65	0.2114961637
66	0.2109299193
67	0.2104146572
68	0.2099146578
69	0.2087048733
70	0.2081887302
71	0.2075368069
72	0.2063450037
73	0.2059433783
74	0.2056056893
75	0.2050827148
76	0.204755911
77	0.2043767907
78	0.2042145637
79	0.2040195109
80	0.203689315
81	0.2031553068
82	0.2028149641
83	0.2025133417
84	0.2022199511
85	0.2020357607
86	0.201559804
87	0.201118774
88	0.2008703275
89	0.2004624783
90	0.2001054819
91	0.1999207063
92	0.199756073
93	0.1991630223
94	0.1989897045
95	0.198514295
96	0.1981845369
97	0.1974779363
98	0.1973225546
99	0.197175884
100	0.197049351
101	0.1965938576
102	0.1965195733
103	0.1963142664
104	0.1960787334
105	0.1958696726
106	0.1955473661
107	0.1954411159
108	0.1953558011
109	0.1950927225
110	0.1946609376
111	0.1946573244
112	0.1944775002
113	0.1942920944
114	0.1940748236
115	0.1939289036
116	0.1937487304
117	0.1936228086
118	0.1934570252
119	0.1932619228
120	0.1931336529
121	0.1930353195
122	0.1929035536
123	0.1928089356
124	0.1927354196
125	0.1926316515
126	0.1919718026
127	0.191581801
128	0.1913523821
129	0.1912654058
130	0.1911758183
131	0.1911373444
132	0.1904992526
133	0.190415855
134	0.1903094501
135	0.1901809408
136	0.1899515344
137	0.1894211725
138	0.1890314615
139	0.1889406802
140	0.1888042903
141	0.1887576916
142	0.1885985946
143	0.1884818725
144	0.1883279855
145	0.1878585028
146	0.1875459342
147	0.1874874119
148	0.1874075707
149	0.187358894
150	0.186969094
151	0.1867632906
152	0.1866713211
153	0.1865866494
154	0.1865140123
155	0.1863019229
156	0.1862453348
157	0.1860510858
158	0.1859866694
159	0.1859754446
160	0.1859621191
161	0.1859050311
162	0.1857909359
163	0.1857173369
164	0.1856835951
165	0.1853312141
166	0.185034837
167	0.1849970856
168	0.1849173805
169	0.1848443015
170	0.184776205
171	0.1847401051
172	0.1847081378
173	0.1845305315
174	0.1845033422
175	0.1842610527
176	0.1842218263
177	0.1841095319
178	0.1840841934
179	0.1836539167
180	0.1835999549
181	0.1835113077
182	0.1834753927
183	0.1831743917
184	0.1830825303
185	0.1829129738
186	0.1827223396
187	0.1825461078
188	0.1822022387
189	0.1821769923
190	0.1821113471
191	0.1820387443
192	0.1820261166
193	0.1819923996
194	0.1819433818
195	0.1818919656
196	0.1818303865
197	0.1818066055
198	0.1813985222
199	0.18132824
200	0.1812662941
201	0.1812097584
202	0.1811434299
203	0.1811097508
204	0.1810453687
205	0.1810207495
206	0.1809924309
207	0.1809251308
208	0.1808651653
209	0.1808103148
210	0.1807842712
211	0.1807027428
212	0.1806255482
213	0.180481526
214	0.18032631
215	0.180100143
216	0.1800170032
217	0.1799582966
218	0.179934279
219	0.1798849006
220	0.1798478341
221	0.1797053735
222	0.179643041
223	0.1796181263
224	0.1793569677
225	0.1793274997
226	0.1793003302
227	0.179293821
