iter	Passed	Remaining
0	59	29800
1	105	26221
2	144	23867
3	182	22593
4	219	21726
5	259	21368
6	299	21081
7	338	20831
8	379	20685
9	415	20365
10	451	20084
11	493	20057
12	532	19959
13	571	19855
14	601	19438
15	635	19229
16	674	19169
17	713	19095
18	751	19019
19	776	18645
20	818	18679
21	850	18482
22	888	18431
23	923	18310
24	958	18211
25	997	18187
26	1030	18055
27	1065	17968
28	1100	17869
29	1139	17850
30	1173	17748
31	1207	17654
32	1245	17623
33	1280	17554
34	1316	17485
35	1353	17444
36	1386	17355
37	1420	17271
38	1452	17173
39	1486	17095
40	1521	17036
41	1554	16950
42	1588	16877
43	1625	16850
44	1662	16807
45	1700	16781
46	1738	16757
47	1777	16739
48	1820	16760
49	1857	16717
50	1895	16686
51	1932	16648
52	1971	16629
53	2009	16597
54	2048	16570
55	2087	16551
56	2135	16599
57	2175	16580
58	2212	16536
59	2255	16541
60	2295	16521
61	2335	16500
62	2375	16478
63	2417	16466
64	2460	16468
65	2500	16442
66	2540	16418
67	2576	16370
68	2613	16327
69	2657	16322
70	2699	16309
71	2740	16293
72	2776	16243
73	2817	16220
74	2859	16201
75	2901	16186
76	2942	16164
77	2998	16223
78	3036	16181
79	3075	16144
80	3112	16101
81	3151	16065
82	3193	16042
83	3233	16014
84	3275	15991
85	3316	15964
86	3354	15925
87	3394	15892
88	3437	15872
89	3474	15827
90	3511	15781
91	3547	15733
92	3588	15702
93	3628	15673
94	3671	15652
95	3708	15607
96	3750	15582
97	3794	15566
98	3836	15537
99	3873	15492
100	3913	15458
101	3956	15436
102	3998	15413
103	4041	15387
104	4082	15358
105	4126	15338
106	4163	15290
107	4205	15262
108	4245	15229
109	4276	15160
110	4314	15119
111	4355	15089
112	4395	15052
113	4435	15017
114	4473	14976
115	4516	14950
116	4558	14921
117	4594	14874
118	4637	14846
119	4676	14809
120	4712	14759
121	4761	14751
122	4807	14735
123	4852	14714
124	4897	14691
125	4939	14660
126	4980	14628
127	5023	14600
128	5071	14584
129	5111	14548
130	5153	14515
131	5193	14478
132	5233	14440
133	5273	14403
134	5313	14367
135	5353	14328
136	5394	14292
137	5430	14245
138	5470	14208
139	5511	14173
140	5552	14136
141	5592	14100
142	5626	14047
143	5667	14010
144	5704	13965
145	5744	13929
146	5792	13910
147	5835	13878
148	5876	13843
149	5911	13794
150	5953	13761
151	5993	13723
152	6029	13674
153	6070	13639
154	6103	13584
155	6144	13548
156	6184	13510
157	6221	13466
158	6263	13432
159	6298	13384
