iter	RMSE
0	10.31451357
1	9.301350169
2	8.390627618
3	7.573074927
4	6.839128224
5	6.181215386
6	5.591223395
7	5.063374733
8	4.571958279
9	4.126725597
10	3.725907087
11	3.370807437
12	3.049010698
13	2.763721166
14	2.5055948
15	2.275333027
16	2.068384852
17	1.883765835
18	1.715321815
19	1.566471122
20	1.433094107
21	1.314643827
22	1.209238704
23	1.10153287
24	1.003235601
25	0.9147018664
26	0.8340053606
27	0.7621703712
28	0.6978615434
29	0.6413413986
30	0.5913702743
31	0.5463707497
32	0.5065643671
33	0.4710733186
34	0.4399633372
35	0.412131368
36	0.3871353165
37	0.3656120568
38	0.3465930595
39	0.3300983663
40	0.3152608731
41	0.3024515783
42	0.2913048328
43	0.2812114416
44	0.272655787
45	0.2650902302
46	0.2582662742
47	0.2523935323
48	0.2479894547
49	0.2434435984
50	0.2395076781
51	0.2363101243
52	0.2336258857
53	0.2305040852
54	0.2277410491
55	0.22547135
56	0.2231567553
57	0.2208969946
58	0.2196661779
59	0.2176575066
60	0.2162626001
61	0.2149339243
62	0.2136387139
63	0.2126660309
64	0.2112336682
65	0.2105419029
66	0.2097226839
67	0.2090929508
68	0.2085360506
69	0.2077078792
70	0.2071166533
71	0.2064693066
72	0.2060390161
73	0.2057100819
74	0.2054626653
75	0.2050740546
76	0.2045517606
77	0.2040511514
78	0.2036843127
79	0.2032722803
80	0.2030249216
81	0.2027352046
82	0.2022848859
83	0.2019790659
84	0.2016898973
85	0.2012996402
86	0.201076807
87	0.1999531149
88	0.1997119049
89	0.1993705273
90	0.199234833
91	0.1991393441
92	0.1986923663
93	0.1985915198
94	0.1983723721
95	0.1981573844
96	0.1979507152
97	0.1977025745
98	0.1975092179
99	0.1969758605
100	0.196762023
101	0.1966362716
102	0.1964963842
103	0.1964229702
104	0.1963181822
105	0.1956655698
106	0.1955739514
107	0.1954721912
108	0.1952760733
109	0.195213883
110	0.1951406868
111	0.1949434623
112	0.1948339618
113	0.1946824992
114	0.1944268229
115	0.1942731257
116	0.1941895778
117	0.193929554
118	0.1938012752
119	0.1936326528
120	0.1935306813
121	0.1934622659
122	0.1931537213
123	0.1930468599
124	0.1929542306
125	0.192852988
126	0.1927569488
127	0.1923239264
128	0.1921838921
129	0.1920745778
130	0.1919702241
131	0.1918505843
132	0.1918104429
133	0.1916881154
134	0.1916135621
135	0.1915047868
136	0.1913941507
137	0.1913490102
138	0.1912891766
139	0.1912464407
140	0.1911437305
141	0.1910553555
142	0.191007934
143	0.1909100969
144	0.1908255383
145	0.1906032308
146	0.1905810134
147	0.1905187877
148	0.1903627359
149	0.190298797
150	0.1901956975
151	0.1896517506
152	0.1895259913
153	0.1894506745
154	0.1889630235
155	0.1888927386
156	0.1887760093
157	0.1886943228
158	0.1886154174
159	0.1885647349
160	0.1885257723
161	0.1884679271
162	0.1882863258
163	0.1882030436
164	0.1881392109
165	0.1880758802
166	0.1880460888
167	0.1879509616
168	0.187946058
169	0.1879334486
170	0.187693292
171	0.1875842125
172	0.1875376004
173	0.1874846241
174	0.1874428739
175	0.1874056118
176	0.1871388592
177	0.186902065
178	0.1868597499
179	0.1868131913
180	0.1867862199
181	0.1867764332
182	0.1866423777
183	0.1865425803
184	0.1864981545
185	0.1864798331
186	0.1864193834
187	0.1864001297
188	0.1863660074
189	0.1863302352
190	0.1862903002
191	0.1862603019
192	0.1862562137
193	0.1862131843
194	0.1861772975
195	0.1860580622
196	0.1860316925
197	0.1859906717
198	0.1858647503
199	0.1858308052
200	0.1857624987
201	0.1855898287
202	0.1855513935
203	0.1855297024
204	0.1854333481
205	0.1854150098
206	0.1853351517
207	0.1852712158
208	0.1852282358
209	0.1852157819
210	0.1850904587
211	0.1849127642
212	0.1848215431
213	0.1847097155
214	0.1846537321
215	0.1846144261
216	0.1844998512
217	0.1843988748
218	0.1843268013
219	0.1842914567
220	0.1842274773
221	0.1841752236
222	0.1841450638
223	0.1840247646
224	0.1840106238
225	0.1839648413
226	0.1837817467
227	0.1833823269
228	0.1833638945
229	0.1833084785
230	0.1831475859
231	0.1830916624
232	0.1830607959
233	0.1830256709
234	0.1829472803
235	0.182517374
236	0.1823479412
237	0.1823214584
238	0.1822978948
239	0.1822179062
240	0.18208839
241	0.1819607725
242	0.1819262292
243	0.1818898343
244	0.1818682594
245	0.1818490664
246	0.181819191
247	0.1816762883
248	0.1816469079
249	0.1815755182
250	0.181543594
251	0.1815230368
252	0.1811564054
253	0.1811062474
254	0.1810804783
255	0.1810066717
256	0.180971722
257	0.1809348791
258	0.1809266349
259	0.1809104891
260	0.1808654117
261	0.1808649962
262	0.1807703115
263	0.1807312451
264	0.1805725576
265	0.1805091515
266	0.180508308
267	0.1804178187
268	0.1803884474
269	0.1803487956
270	0.1803305357
271	0.180273573
272	0.1802179094
273	0.1801451978
274	0.1800976432
275	0.1799782109
276	0.1798540499
277	0.1798038446
278	0.1797594554
279	0.1794896476
280	0.1794203776
281	0.1793625047
282	0.1793250292
283	0.1792637726
284	0.1792330183
285	0.1791972724
286	0.1791062608
287	0.1790552562
288	0.1789936287
289	0.1789668489
290	0.1789217342
291	0.1786525332
292	0.1786217024
293	0.1785479862
294	0.1785110613
295	0.1784854255
296	0.1784505264
297	0.1784083725
298	0.1783787255
299	0.1783612726
300	0.1783216113
301	0.1782738651
302	0.1781381187
303	0.178118948
304	0.1780598396
305	0.1780412143
306	0.1779582762
307	0.1779347375
308	0.1778720828
309	0.1777673246
310	0.1776922166
311	0.1776554406
312	0.1775502227
313	0.1775389034
314	0.1775092556
315	0.1774699899
316	0.177415452
317	0.1773999155
318	0.1772989999
319	0.1772879417
320	0.1772469041
321	0.1771969241
322	0.177164728
323	0.1771499663
324	0.1771075779
325	0.177097962
326	0.1768207031
327	0.1767496372
328	0.1767156126
329	0.1766947726
330	0.1766477075
331	0.176548325
332	0.1765257423
333	0.1765014481
334	0.1764863208
335	0.1764756747
336	0.1764407034
337	0.1763421297
338	0.1762660334
339	0.1762005925
340	0.1761915956
341	0.1761419738
342	0.1761215515
343	0.1760769199
344	0.176040442
345	0.1759048897
346	0.1758788773
347	0.1756443726
348	0.1755713963
349	0.1755429569
350	0.1755014747
351	0.1754418683
352	0.1753675876
353	0.1752419473
354	0.1751646731
355	0.1751344276
356	0.1749854396
357	0.1749686098
358	0.1749496097
359	0.1749156291
360	0.1748136034
361	0.17477841
362	0.1747265149
363	0.174704472
364	0.1746341329
365	0.1745869275
366	0.1745167966
367	0.1744629985
368	0.1743709329
369	0.1743314295
370	0.1742388367
371	0.1742098539
372	0.1742002415
373	0.1741819979
374	0.1741542881
375	0.1741320277
376	0.174099704
377	0.1740929299
378	0.1740776633
379	0.1740677657
380	0.1740507509
381	0.1740400991
382	0.1739924519
383	0.1738484971
384	0.1738225557
385	0.173788305
386	0.1737858097
387	0.1737811579
388	0.1737494868
389	0.1737254452
390	0.1736136809
391	0.1735924094
392	0.1734655347
393	0.1734615289
394	0.1734523811
395	0.1734268349
396	0.1733959004
397	0.173353909
398	0.1733372641
399	0.1732973175
400	0.173292005
401	0.1732758274
402	0.1732386616
403	0.1732203634
404	0.1732059264
405	0.1731925952
406	0.1731151491
407	0.1730651425
408	0.1730622817
409	0.1730398816
410	0.1730109546
411	0.1729870203
412	0.1729697034
413	0.1729534687
414	0.1729338205
415	0.1729039683
416	0.1728834388
417	0.1728751198
418	0.1728474552
419	0.1728291625
420	0.1728026613
421	0.1727345038
422	0.1727082634
423	0.1726809689
424	0.1726635806
425	0.1726546909
426	0.1726237953
427	0.1725837556
428	0.1725582496
429	0.1725060208
430	0.1724510592
431	0.1724012093
432	0.172384205
433	0.1723642247
434	0.1723328111
435	0.1723145493
436	0.1722946169
437	0.172204011
438	0.1721768277
439	0.1721628233
440	0.1721164815
441	0.1721036697
442	0.1720770279
443	0.1720381549
444	0.1719745569
445	0.1719712142
446	0.1719443408
447	0.1718895469
448	0.1718518707
449	0.1718275842
450	0.171808714
