iter	Passed	Remaining
401	16678	4065
402	16719	4024
403	16764	3983
404	16804	3941
405	16844	3900
406	16887	3858
407	16927	3817
408	16973	3776
409	17019	3736
410	17064	3695
411	17102	3653
412	17145	3611
413	17182	3569
414	17221	3527
415	17268	3486
416	17306	3444
417	17347	3403
418	17384	3360
419	17424	3319
420	17465	3277
421	17505	3235
422	17548	3194
423	17590	3153
424	17629	3111
425	17669	3069
426	17709	3027
427	17747	2985
428	17788	2943
429	17828	2902
430	17868	2860
431	17912	2819
432	17950	2777
433	17992	2736
434	18029	2694
435	18067	2652
436	18105	2610
437	18159	2570
438	18213	2530
439	18253	2489
440	18297	2447
441	18336	2406
442	18378	2364
443	18420	2323
444	18460	2281
445	18500	2240
446	18542	2198
447	18582	2156
448	18622	2115
449	18662	2073
450	18703	2032
451	18745	1990
452	18789	1949
453	18829	1907
454	18869	1866
455	18910	1824
456	18951	1783
457	18993	1741
458	19031	1699
459	19072	1658
460	19115	1617
461	19153	1575
462	19192	1533
463	19230	1492
464	19272	1450
465	19314	1409
466	19352	1367
467	19395	1326
468	19437	1284
469	19477	1243
470	19514	1201
471	19541	1159
472	19580	1117
473	19625	1076
474	19670	1035
475	19718	994
476	19762	952
477	19809	911
478	19855	870
479	19896	829
480	19938	787
481	19975	745
482	20016	704
483	20055	663
484	20095	621
485	20134	580
486	20177	538
487	20223	497
488	20267	455
489	20312	414
490	20357	373
491	20400	331
492	20441	290
493	20481	248
494	20522	207
495	20560	165
496	20603	124
497	20643	82
498	20684	41
499	20728	0
